,name,link,Academics,Value,Diversity,Campus,Athletics,Party_Scene,Professors,Location,Dorms,Campus_Food,Student_Life,Safety,des,street,city,state,zip,Accept_Rate,SAT,ACT,Application_fee,Price_per_year,major_rank,Acceptance Rate,Total_Applicants,SAT Range,SAT Reading,SAT Math,Students Submitting SAT
222,University of New Hampshire,https://www.niche.com/colleges/university-of-new-hampshire/,B+,A,A-,A,A-,A-,B+,C+,B+,A+,A,B-,"New Hampshire is a highly rated public university located in Durham, New Hampshire. It is a large institution with an enrollment of 12,677 undergraduate students. Admissions is somewhat competitive as the New Hampshire acceptance rate is 77%. Popular majors include Business, Psychology, and Communications. Graduating 78% of students, New Hampshire alumni go on to earn a starting salary of $40,200.","105 Main St., Thompson Hall",Durham,NH,3824,77%,1070-1260,23-28,$65 ,"$22,888 ","Business; Psychology; Communications; Biomedical Sciences and Molecular Medicine; English; Mechanical Engineering; Political Science and Government; Parks, Recreation and Leisure Studies; Foods, Nutrition, and Wellness Studies; Natural Resources Conservation and Management; ",77%,"19,966",1070-1260,540-630,530-630,91%
223,College of the Ozarks,https://www.niche.com/colleges/college-of-the-ozarks/,A-,A-,C+,B,C-,C-,B,B,B,B,B-,A+,"College of the Ozarks is a highly rated private, Christian college located in Oliver Township, Missouri. It is a small institution with an enrollment of 1,477 undergraduate students. Admissions is extremely competitive as the College of the Ozarks acceptance rate is 13%. Popular majors include Business, Public Relations, and Agricultural Business. Graduating 72% of students, College of the Ozarks alumni go on to earn a starting salary of $25,800.",100 Opportunity Avenue,Point Lookout,MO,65726,13%,1090-1240,21-26,$0 ,"$13,498 ",Business; Public Relations; Agricultural Business; Nursing; Elementary Education; Animal Sciences and Husbandry; Social Work and Youth Services; Police and Criminal Science; Psychology; History; ,13%,"3,250",1090-1240,560-620,530-620,4%
224,University of Puget Sound,https://www.niche.com/colleges/university-of-puget-sound/,A-,A-,A-,B,B-,B-,A,B+,B,B,B,C,"Puget Sound is a highly rated private university located in Tacoma, Washington in the Seattle Area. It is a small institution with an enrollment of 2,390 undergraduate students. The Puget Sound acceptance rate is 84%. Popular majors include Business, Psychology, and Biology. Graduating 78% of students, Puget Sound alumni go on to earn a starting salary of $35,000.",1500 N. Warner Street,Tacoma,WA,98416,84%,1110-1330,25-30,$60 ,"$40,065 ",Business; Psychology; Biology; Economics; Political Science and Government; Communications; Kinesiology and Exercise Science; Computer Science; Sociology; Natural Sciences; ,84%,"5,958",1110-1330,560-680,550-650,71%
225,Kettering University,https://www.niche.com/colleges/kettering-university/,A-,A+,A-,D+,NG,B,B+,C-,C+,C,B,B,"Kettering is a highly rated private university located in Flint, Michigan. It is a small institution with an enrollment of 1,807 undergraduate students. Admissions is somewhat competitive as the Kettering acceptance rate is 70%. Popular majors include Mechanical Engineering, Electrical Engineering, and Computer Hardware Engineering. Graduating 61% of students, Kettering alumni go on to earn a starting salary of $68,000.",1700 University Avenue,Flint,MI,48504,70%,1190-1350,24-29,$0 ,"$37,703 ",Mechanical Engineering; Electrical Engineering; Computer Hardware Engineering; Computer Science; Industrial Engineering; Business; Chemical Engineering; Engineering Physics; Biochemistry and Molecular Biology; Computational and Applied Mathematics; ,70%,"1,931",1190-1350,580-660,610-690,75%
226,Mercer University,https://www.niche.com/colleges/mercer-university/,A-,A-,A,C,B+,B,A-,C,C+,C,B,B,"Mercer is a highly rated private university located in Macon, Georgia. It is a small institution with an enrollment of 4,135 undergraduate students. Admissions is somewhat competitive as the Mercer acceptance rate is 73%. Popular majors include Nursing, Engineering, and Business. Graduating 64% of students, Mercer alumni go on to earn a starting salary of $37,000.",1501 Mercer University Drive,Macon,GA,31207,73%,1170-1340,25-30,$50 ,"$21,268 ",Nursing; Engineering; Business; Biology; Psychology; Elementary Education; Human Services; Social Science Research Methods; Liberal Arts and Humanities; Communications; ,73%,"4,749",1170-1340,590-670,580-670,46%
227,Pacific Lutheran University,https://www.niche.com/colleges/pacific-lutheran-university/,B+,A,A-,B,B-,C+,B+,C,B+,A-,B,B,"Pacific Lutheran is a highly rated private, Christian university located in Parkland, Washington in the Seattle Area. It is a small institution with an enrollment of 2,655 undergraduate students. Admissions is somewhat competitive as the Pacific Lutheran acceptance rate is 75%. Popular majors include Business, Nursing, and Biology. Graduating 70% of students, Pacific Lutheran alumni go on to earn a starting salary of $35,200.",12180 Park Ave South,Tacoma,WA,98447,75%,1040-1270,21-27,$0 ,"$24,567 ",Business; Nursing; Biology; Kinesiology and Exercise Science; Psychology; Communications; Sociology; Information Science; Mathematics; Chemistry; ,75%,"3,629",1040-1270,520-640,520-630,84%
228,Kalamazoo College,https://www.niche.com/colleges/kalamazoo-college/,A-,A-,A,B-,C+,B,B+,B-,B-,B-,B+,B,"Kalamazoo is a highly rated private college located in Kalamazoo, Michigan. It is a small institution with an enrollment of 1,427 undergraduate students. Admissions is somewhat competitive as the Kalamazoo acceptance rate is 73%. Popular majors include Psychology, Chemistry, and Biology. Graduating 86% of students, Kalamazoo alumni go on to earn a starting salary of $29,500.",1200 Academy St,Kalamazoo,MI,49006,73%,1180-1380,26-30,$0 ,"$28,057 ",Psychology; Chemistry; Biology; Business; English; Economics; Social Sciences; Political Science and Government; Religious Studies; History; ,73%,"3,434",1180-1380,600-690,580-690,39%
229,Christopher Newport University,https://www.niche.com/colleges/christopher-newport-university/,A-,A-,B+,A,B,B-,A-,C+,A+,A-,A-,C+,"Christopher Newport is a highly rated public university located in Newport News, Virginia in the Norfolk Area. It is a mid-size institution with an enrollment of 5,126 undergraduate students. Admissions is somewhat competitive as the Christopher Newport acceptance rate is 72%. Popular majors include Biology, Business, and Psychology. Graduating 75% of students, Christopher Newport alumni go on to earn a starting salary of $36,700.",1 Avenue of the Arts,Newport News,VA,23606,72%,1060-1250,23-28,$65 ,"$22,770 ",Biology; Business; Psychology; Communications; Political Science and Government; History; Sociology; Computer Science; Liberal Arts and Humanities; English; ,72%,"6,948",1060-1250,530-630,530-620,72%
230,Truman State University,https://www.niche.com/colleges/truman-state-university/,A-,A,A-,C+,B-,B,B,C-,A-,C,B+,B+,"Truman State is a highly rated public university located in Kirksville, Missouri. It is a mid-size institution with an enrollment of 5,134 undergraduate students. Admissions is somewhat competitive as the Truman State acceptance rate is 67%. Popular majors include Business, Psychology, and Biology. Graduating 75% of students, Truman State alumni go on to earn a starting salary of $32,700.",100 E Normal Avenue,Kirksville,MO,63501,67%,1180-1420,24-30,$0 ,"$12,512 ",Business; Psychology; Biology; Kinesiology and Exercise Science; Accounting; Communications; Public Health Education; English; History; Computer Science; ,67%,"5,263",1180-1420,600-700,580-720,5%
231,Loyola University New Orleans,https://www.niche.com/colleges/loyola-university-new-orleans/,B+,B+,A-,B+,C+,A+,A,A+,C+,B-,A,C+,"Loyola New Orleans is an above-average private, Catholic university located in New Orleans, Louisiana. It is a small institution with an enrollment of 2,446 undergraduate students. Admissions is somewhat competitive as the Loyola New Orleans acceptance rate is 69%. Popular majors include Psychology, Music Management, and Business. Graduating 56% of students, Loyola New Orleans alumni go on to earn a starting salary of $32,800.",6363 Saint Charles Ave,New Orleans,LA,70118,69%,1080-1270,22-28,$0 ,"$24,524 ",Psychology; Music Management; Business; Marketing; Public Relations; Creative Writing; Biology; Criminology; Finance; Journalism; ,69%,"5,112",1080-1270,560-650,520-620,30%
232,Louisiana Tech University,https://www.niche.com/colleges/louisiana-tech-university/,A-,A-,B+,B-,A,B,B+,C,C-,B,B+,B,"Louisiana Tech is an above-average public university located in Ruston, Louisiana. It is a mid-size institution with an enrollment of 8,090 undergraduate students. Admissions is somewhat competitive as the Louisiana Tech acceptance rate is 65%. Popular majors include Liberal Arts and Humanities, Biology, and Mechanical Engineering. Graduating 53% of students, Louisiana Tech alumni go on to earn a starting salary of $33,400.",305 Wisteria,Ruston,LA,71272,65%,870-1100,22-27,$20 ,"$10,683 ",Liberal Arts and Humanities; Biology; Mechanical Engineering; Marketing; Kinesiology and Exercise Science; Psychology; Business; Human Development; Nursing; Accounting; ,65%,"6,952",870-1100,440-540,430-560,3%
233,Seattle University,https://www.niche.com/colleges/seattle-university/,B,A-,A+,A,B+,B+,B+,A+,B,A+,A-,B-,"Seattle University is an above-average private, Catholic university located in Seattle, Washington. It is a small institution with an enrollment of 4,325 undergraduate students. Admissions is somewhat competitive as the Seattle University acceptance rate is 74%. Popular majors include Nursing, Finance, and Marketing. Graduating 75% of students, Seattle University alumni go on to earn a starting salary of $43,200.",901 12th Ave,Seattle,WA,98122,74%,1130-1330,24-29,$55 ,"$35,581 ",Nursing; Finance; Marketing; Psychology; Accounting; Business; Digital Communication and Media/Multimedia; Liberal Arts and Humanities; Electrical Engineering; Biology; ,74%,"8,576",1130-1330,570-670,560-660,50%
234,College of Saint Benedict,https://www.niche.com/colleges/college-of-saint-benedict/,B,A+,B,A-,NG,B+,B,B,A,A+,A,B,"Saint Benedict is an above-average private, Catholic college located in St. Joseph, Minnesota. It is a small institution with an enrollment of 1,916 undergraduate students. The Saint Benedict acceptance rate is 81%. Popular majors include Biology, Rhetoric and Composition, and Psychology. Graduating 82% of students, Saint Benedict alumni go on to earn a starting salary of $39,100.",37 South College Avenue,St. Joseph,MN,56374,81%,1010-1220,22-28,$0 ,"$26,912 ","Biology; Rhetoric and Composition; Psychology; Nursing; Elementary Education; Foods, Nutrition, and Wellness Studies; Business; Accounting; English; Political Science and Government; ",81%,"2,003",1010-1220,530-630,480-590,7%
235,Willamette University,https://www.niche.com/colleges/willamette-university/,A-,A,A,C+,B-,C+,A,C-,B-,B,C+,C,"Willamette is an above-average private university located in Salem, Oregon. It is a small institution with an enrollment of 1,901 undergraduate students. The Willamette acceptance rate is 89%. Popular majors include Biology, Economics, and Political Science and Government. Graduating 73% of students, Willamette alumni go on to earn a starting salary of $31,400.",900 State St,Salem,OR,97301,89%,1100-1330,25-30,$50 ,"$33,089 ",Biology; Economics; Political Science and Government; Psychology; Communications; History; Kinesiology and Exercise Science; Chemistry; Sociology; English; ,89%,"4,484",1100-1330,550-670,550-660,70%
236,University of Dallas,https://www.niche.com/colleges/university-of-dallas/,A-,A-,A-,C-,B-,B+,B+,B,B,C-,B+,A-,"University of Dallas is an above-average private, Catholic university located in Irving, Texas in the Dallas-Fort Worth Area. It is a small institution with an enrollment of 1,421 undergraduate students. Admissions is fairly competitive as the University of Dallas acceptance rate is 47%. Popular majors include Biology, Business, and English. Graduating 68% of students, University of Dallas alumni go on to earn a starting salary of $33,600.",1845 E Northgate Drive,Irving,TX,75062,47%,1140-1370,24-31,$50 ,"$26,657 ","Biology; Business; English; Economics; History; Psychology; Divinity, Ministry, and Pre-Theology; Political Science and Government; Elementary Education; Theological and Ministerial Studies; ",47%,"3,857",1140-1370,590-700,550-670,65%
237,Catholic University of America,https://www.niche.com/colleges/catholic-university-of-america/,B+,A,B+,B-,B,A,A-,A+,C,C,B+,B-,"Catholic University is an above-average private, Catholic university located in Washington, D.C. It is a small institution with an enrollment of 3,194 undergraduate students. The Catholic University acceptance rate is 83%. Popular majors include Nursing, Political Science and Government, and Psychology. Graduating 74% of students, Catholic University alumni go on to earn a starting salary of $46,400.","620 Michigan Avenue, NE",Washington,DC,20064,83%,1020-1230,22-28,$55 ,"$35,214 ",Nursing; Political Science and Government; Psychology; Architecture; Mechanical Engineering; Finance; Marketing; Civil Engineering; Business; Bioengineering and Biomedical Engineering; ,83%,"6,073",1020-1230,510-620,510-610,85%
